message_id,references_found,references_not_found,amounts,dates
MSG005987,,,17000.0,
MSG005999,,LA951773,,
MSG006000,LA030416,,,2025-10-14
MSG006001,,,,2025-11-06
MSG006002,,,121000.0,
MSG006005,,,792000.0,
MSG006006,,,,2025-04-21
MSG006013,,LA953564,,
MSG006015,,,83000.0,
MSG006020,,LA984734,,
MSG006026,,,45000.0,
MSG006036,LA019023,,,
MSG006039,,,834000.0,
MSG006040,LA016563,,,
MSG006042,,,,2025-10-19
MSG006044,,,,2026-11-14
MSG006045,,,99000.0,
MSG006046,,,,2025-06-02
MSG006048,,,67000.0,
MSG006051,LA010036,,,
MSG006056,,,882000.0,
MSG006057,LA002852,,,
MSG006059,,,878000.0,
MSG006061,,,,2025-03-08
MSG006062,,,301000.0,
MSG006063,,,599000.0,
MSG006069,LA028922,,,
MSG006071,,,221000.0,
MSG006073,,,602000.0,2026-01-03
MSG006074,,,578000.0,
MSG006075,,,71000.0,
MSG006077,,,231000.0,
MSG006083,,,550000.0,
MSG006087,,,250000.0,
MSG006089,,,830000.0,
MSG006091,,,762000.0,
MSG006094,,LA027265,,
MSG006096,,LA952939,,
MSG006098,,,600000.0,
MSG006103,,,,2026-06-08
MSG006105,LA005390,,,
MSG006107,,,128000.0,
MSG006109,,,71000.0,
MSG006112,LA023256,,,2025-02-08
MSG006113,,,211000.0,
MSG006115,LA012033,,100000.0,
MSG006116,LA014436,,,
MSG006117,LA028008,,,
MSG006118,,,,2025-05-24
MSG006121,LA027790,,,
MSG006125,LA006314,,,
MSG006126,,,295000.0,
MSG006128,,,,2025-09-09
MSG006129,,,604000.0,
MSG006131,LA010171,,,
MSG006137,,,70000.0,
MSG006138,,,746000.0,
MSG006143,,LA902754,,
MSG006146,LA027111,,,
MSG006150,,,9000.0,
MSG006153,LA030259,,,
MSG006156,,,,2026-09-26
MSG006163,,,,2026-08-19
MSG006164,,,,2026-05-22
MSG006168,,LA969958,,
MSG006169,,,447000.0,
MSG006171,,LA977714,,
MSG006172,,,635000.0,
MSG006174,LA002618,,,
MSG006175,LA027511,,,
MSG006179,LA016160,,,
MSG006181,,,,2026-11-08
MSG006188,LA019500,,,
MSG006192,LA002495,,,
MSG006193,,,,2026-06-15
MSG006197,,,,2026-12-10
MSG006200,,,,2025-02-07
MSG006201,LA022476,,,
MSG006202,,,,2025-06-26
MSG006206,,,841000.0,
MSG006207,,,,2026-04-29
MSG006210,LA022397,,,
MSG006211,,,702000.0,
MSG006212,,,16000.0,
MSG006218,,,378000.0,
MSG006219,,,244000.0,
MSG006220,LA021892,,,
MSG006221,,,149000.0,
MSG006222,,LA929806,,
MSG006223,,,539000.0,
MSG006224,,,490000.0,
MSG006229,,,750000.0,
MSG006232,,,173000.0,
MSG006234,,LA026112,,
MSG006235,LA031220,,,
MSG006243,,,,2025-11-10
MSG006245,,,727000.0,
MSG006248,LA028047,,,
MSG006250,,,624000.0,
MSG006251,,,771000.0,
MSG006256,,,,2025-02-23
MSG006260,LA024605,,,
MSG006261,,LA032388,,2025-04-28
MSG006264,,,,2025-04-23
MSG006266,,LA911660,,
MSG006267,,LA914220,,2026-06-06
MSG006275,,LA984076,,
MSG006277,,LA944753,,
MSG006281,,,821000.0,2026-07-03
MSG006282,,,490000.0,
MSG006292,,,155000.0,
MSG006300,,,508000.0,2026-05-13
MSG006304,,LA952917,,
MSG006307,,,,2025-08-29
MSG006311,,LA996061,,
MSG006324,,,541000.0,
MSG006330,LA022283,,,
MSG006333,,,,2025-08-16
MSG006338,LA022200,,186000.0,
MSG006346,,,763000.0,
MSG006351,,,138000.0,
MSG006355,,,538000.0,
MSG006357,LA017906,,,
MSG006361,,,354000.0,2025-07-13
MSG006363,LA025401,,,
MSG006367,LA002363,,,
MSG006368,,LA906112,,
MSG006372,LA016714,,,
MSG006373,LA014052,,,
MSG006374,,,853000.0,
MSG006379,,,372000.0,
MSG006382,LA030118,,,
MSG006383,,,495000.0,2025-09-29
MSG006385,,,405000.0,2026-02-05
MSG006388,LA002402,,,
MSG006392,,,565000.0,2026-06-16
MSG006394,,,892000.0,
MSG006396,LA021268,,,
MSG006398,,LA920593,,
MSG006400,LA006108,,,
MSG006403,,,408000.0,
MSG006407,,LA983323,,
MSG006410,,,53000.0,
MSG006412,,,610000.0,
MSG006413,,,439000.0,
MSG006420,,,353000.0,
MSG006422,,,821000.0,
MSG006424,,,73000.0,
MSG006425,LA029156,,,
MSG006426,,,664000.0,
MSG006427,LA028111,,,
MSG006431,,,,2026-11-26
MSG006435,,,,2026-08-04
MSG006436,,,,2026-06-09
MSG006439,,,69000.0,
MSG006440,,,,2026-05-23
MSG006442,LA007806,,,
MSG006444,,,200000.0,
MSG006445,,,,2025-01-14
MSG006447,,LA954013,,
MSG006451,,LA902731,,
MSG006454,,,144000.0,
MSG006456,LA028770,,,
MSG006458,,,391000.0,
MSG006459,,,52000.0,
MSG006461,,,124000.0,
MSG006466,,LA970287,,
MSG006468,LA016409,,,
MSG006470,,LA913836,,
MSG006471,,,,2025-09-25
MSG006474,,,871000.0,
MSG006475,,,82000.0,
MSG006480,,,738000.0,
MSG006484,,,662000.0,
MSG006485,,,683000.0,
MSG006487,LA032045,,,
MSG006488,LA024112,,,
MSG006490,,LA978213,,
MSG006493,LA001144,,,
MSG006496,LA006721,,,2025-09-09
MSG006500,,,764000.0,
MSG006502,,,,2026-01-02
MSG006505,LA013336,,,
MSG006512,LA007004,,,
MSG006516,,LA979781,,
MSG006519,,,,2026-02-10
MSG006522,,,,2026-08-04
MSG006526,,,642000.0,
MSG006529,,LA982439,,
MSG006533,,LA946486,,
MSG006534,,LA004380,138000.0,
MSG006538,,,453000.0,
MSG006553,LA032281,,,
MSG006554,LA028683,,,
MSG006561,,,,2025-10-16
MSG006567,LA014356,,,
MSG006568,,,377000.0,
MSG006570,,,,2025-10-30
MSG006571,LA007130,,826000.0,
MSG006573,,LA926782,,
MSG006574,,,531000.0,
MSG006576,,LA988137,,
MSG006579,,LA955876,,2025-05-01
MSG006581,LA006026,,,
MSG006583,LA030219,,,
MSG006586,,,,2025-03-23
MSG006587,LA010958,,71000.0,
MSG006588,,,281000.0,
MSG006590,,,,2025-12-12
MSG006593,,,395000.0,
MSG006594,,,83000.0,
MSG006596,,,899000.0,
MSG006601,LA000416,,,
MSG006604,,,802000.0,
MSG006607,,,866000.0,
MSG006610,,,882000.0,
MSG006616,LA013127,,,
MSG006617,,,172000.0,
MSG006618,,,451000.0,2025-11-30
MSG006622,LA015012,,,
MSG006625,LA020584,,,
MSG006627,,,142000.0,
MSG006628,,,,2025-06-20
MSG006631,,,,2026-02-14
MSG006632,,LA963542,,
MSG006633,,,725000.0,
MSG006635,,,62000.0,
MSG006636,LA011194,,,
MSG006644,,,453000.0,
MSG006650,,LA913651,,
MSG006651,,,239000.0,
MSG006658,,,476000.0,
MSG006662,,,,2025-10-23
MSG006665,LA030457,,,2026-10-06
MSG006666,,,512000.0,
MSG006668,,,647000.0,2026-02-25
MSG006669,,,742000.0,
MSG006670,,,,2026-06-04
MSG006673,LA021261,,,
MSG006678,,,418000.0,
MSG006680,,,233000.0,
MSG006683,LA032560,,,
MSG006689,,,838000.0,
MSG006692,,,56000.0,
MSG006693,,,,2026-09-16
MSG006694,,,,2025-07-15
MSG006695,,,236000.0,
MSG006697,,,,2026-05-24
MSG006699,,,287000.0,
MSG006709,,,79000.0,
MSG006713,,,554000.0,
MSG006715,,,581000.0,
MSG006716,,,739000.0,
MSG006721,,,,2026-09-05
MSG006723,,,573000.0,
MSG006726,,,755000.0,
MSG006727,,,651000.0,
MSG006733,,,374000.0,
MSG006735,LA012128,,,
MSG006738,LA021528,,,
MSG006744,LA012071,,,
MSG006748,,LA962352,,
MSG006750,LA023122,,,
MSG006754,LA024633,,,
MSG006759,LA010643,,,
MSG006761,,,541000.0,
MSG006764,,,864000.0,
MSG006768,LA030942,,,
MSG006771,,,,2026-11-09
MSG006773,,,178000.0,
MSG006774,LA028292,,,
MSG006775,LA029517,,,
MSG006776,,LA958008,,
MSG006779,,,119000.0,
MSG006787,,,595000.0,
MSG006788,,,669000.0,
MSG006790,,,135000.0,
MSG006792,,,790000.0,
MSG006800,,LA929223,,
MSG006804,,LA976684,,
MSG006810,LA007220,,,
MSG006814,,,152000.0,
MSG006815,,,855000.0,
MSG006817,LA023715,,,
MSG006822,,LA913367,,
MSG006824,LA003522,,,
MSG006826,LA003494,,199000.0,
MSG006828,LA032120,,,
MSG006829,,,,2025-08-12
MSG006833,,,612000.0,
MSG006835,,,689000.0,
MSG006842,,,121000.0,
MSG006847,,,,2026-02-10
MSG006853,,LA971937,,
MSG006855,,,,2026-06-26
MSG006859,,,516000.0,
MSG006863,LA005068,,,
MSG006870,,LA996116,,
MSG006873,,,393000.0,
MSG006875,,LA956725,,
MSG006878,,,,2026-03-01
MSG006888,LA028521,,,
MSG006891,,,456000.0,
MSG006892,,,657000.0,
MSG006897,,,,2026-02-15
MSG006898,,LA910479,,
MSG006902,,,649000.0,
MSG006903,LA014231,,,
MSG006908,,,571000.0,
MSG006912,,,830000.0,
MSG006918,LA010043,,,
MSG006923,LA002433,,,
MSG006926,,LA955330,,
MSG006927,,,237000.0,2025-04-04
MSG006934,LA022305,,,
MSG006936,,,631000.0,
MSG006937,,,,2025-04-25
MSG006939,,,825000.0,
MSG006941,LA023833,,,
MSG006944,,,304000.0,
MSG006945,LA015428,,,
MSG006946,LA026739,,,
MSG006951,,,877000.0,
MSG006953,,,330000.0,
MSG006957,LA010685,,,
MSG006958,,,522000.0,
MSG006965,,,185000.0,
MSG006970,,,295000.0,
MSG006971,,,145000.0,2025-12-13
MSG006975,,,,2025-05-12
MSG006979,,,770000.0,
MSG006981,LA018223,,,
MSG006982,LA009488,,,
MSG006983,,,189000.0,
MSG006984,,LA952900,,
MSG006990,,,48000.0,
MSG006993,LA019236,,,
MSG006995,,LA955218,,
MSG006997,LA004502,,,
MSG006998,,,521000.0,
MSG006999,,,855000.0,
MSG007000,LA015727,,,
MSG007005,,,727000.0,
MSG007006,,,104000.0,
MSG007007,LA018147,,,
MSG007008,LA018385,,,
MSG007014,,,785000.0,
MSG007016,,,,2026-07-21
MSG007021,,,312000.0,
MSG007022,,,,2026-07-04
MSG007030,,,,2025-11-13
MSG007031,,,399000.0,
MSG007037,,LA927256,,2026-08-05
MSG007041,,,,2025-07-26
MSG007042,LA014751,,596000.0,
MSG007043,,,553000.0,
MSG007044,,,136000.0,
MSG007046,,,,2026-07-06
MSG007049,,,645000.0,
MSG007052,LA021262,,,
MSG007053,,,817000.0,
MSG007059,,,8000.0,
MSG007061,LA016927,,,
MSG007063,,,,2026-06-28
MSG007066,,LA962608,,
MSG007068,LA009374,,,2026-02-18
MSG007070,,,891000.0,
MSG007073,LA007141,,,
MSG007074,,LA926413,,
MSG007080,,,334000.0,
MSG007082,,LA955786,470000.0,
MSG007085,,,570000.0,2025-03-07
MSG007087,,,,2026-07-28
MSG007089,,LA959458,,
MSG007090,,,592000.0,
MSG007101,LA021397,,,
MSG007104,,,,2026-11-27
MSG007108,,,212000.0,
MSG007109,LA030973,,,
MSG007113,,,,2025-06-13
MSG007114,,,370000.0,2025-07-02
MSG007117,LA024879,,,
MSG007119,,LA964586,671000.0,
MSG007121,,,169000.0,
MSG007122,,,370000.0,
MSG007124,,,545000.0,
MSG007127,,,302000.0,
MSG007132,LA021098,,,
MSG007139,,LA979792,,
MSG007140,,,58000.0,
MSG007143,,,505000.0,
MSG007146,LA030409,,29000.0,2026-02-11
MSG007148,,,,2025-07-13
MSG007149,LA029684,,,
MSG007152,,,319000.0,
MSG007158,,,518000.0,
MSG007161,,,726000.0,
MSG007162,,LA988252,,
MSG007163,,,861000.0,
MSG007164,LA016736,,,
MSG007167,,,493000.0,
MSG007176,,LA977717,,
MSG007177,LA003618,,,
MSG007178,LA020955,,,
MSG007183,LA020576,,,
MSG007184,,,800000.0,2025-12-01
MSG007190,,,87000.0,
MSG007194,,,,2025-11-05
MSG007198,,,107000.0,
MSG007199,,,,2026-12-22
MSG007200,,,186000.0,2026-06-16
MSG007202,,,,2026-06-10
MSG007203,,,,2026-04-05
MSG007212,,,,2025-01-15
MSG007213,LA009181,,,
MSG007215,,,448000.0,2025-02-23
MSG007217,,,,2025-03-21
MSG007220,,,618000.0,
MSG007221,LA028034,,737000.0,
MSG007224,LA028711,,,
MSG007225,LA010941,,,
MSG007228,LA015749,,,2026-08-16
MSG007229,,,,2026-07-17
MSG007230,,,828000.0,
MSG007231,LA006468,,,
MSG007232,,,451000.0,
MSG007234,,,,2026-03-12
MSG007235,LA005911,,,
MSG007238,,,825000.0,
MSG007239,,,646000.0,
MSG007241,LA008777,,,
MSG007243,LA012088,,,
MSG007245,,,327000.0,
MSG007251,,,704000.0,
MSG007252,,,779000.0,
MSG007253,LA009036,,,
MSG007262,,,193000.0,2025-12-01
MSG007265,,LA979586,,
MSG007266,,,407000.0,
MSG007267,,LA986879,,
MSG007268,,,867000.0,
MSG007270,,,,2026-09-17
MSG007271,LA005025,,,
MSG007273,LA014770,,,
MSG007274,LA020599,,,
MSG007279,LA010779,,,
MSG007290,,,,2025-03-16
MSG007296,LA017627,,,
MSG007298,,,,2025-09-21
MSG007302,,,528000.0,
MSG007305,,,291000.0,
MSG007311,,,,2026-02-15
MSG007316,,,,2025-05-14
MSG007317,LA008982,,,
MSG007319,,,132000.0,
MSG007325,,,7300000.0,
MSG007327,,,8000.0,
MSG007333,,,374000.0,
MSG007335,LA023254,,,2025-07-15
MSG007336,,,51000.0,
MSG007338,,,72000.0,
MSG007339,,,713000.0,
MSG007343,,LA924247,,
MSG007348,LA021424,,,
MSG007349,LA031679,,,
MSG007354,,,120000.0,
MSG007362,,,427000.0,
MSG007366,,,437000.0,
MSG007367,,,502000.0,
MSG007368,,,778000.0,
MSG007375,,,356000.0,
MSG007376,,,319000.0,
MSG007380,,,833000.0,
MSG007384,,LA929289,,
MSG007385,,,,2026-10-05
MSG007386,,,632000.0,
MSG007391,,,668000.0,
MSG007392,,LA953304,,
MSG007395,,,848000.0,
MSG007397,LA001754,,,
MSG007405,LA028154,,,
MSG007409,,,711000.0,
MSG007412,,,,2025-10-24
MSG007415,,,395000.0,
MSG007418,,,85000.0,2025-08-26
MSG007421,,,377000.0,
MSG007425,,,644000.0,
MSG007426,,,668000.0,
MSG007427,,,423000.0,
MSG007428,LA011250,,,
MSG007432,,,31000.0,
MSG007435,LA002185,,,
MSG007436,,,,2026-12-18
MSG007438,,LA946574,,
MSG007447,,,589000.0,
MSG007448,,,,2025-12-25
MSG007449,,,486000.0,
MSG007452,,,99000.0,
MSG007454,LA022790,,,
MSG007455,,,816000.0,
MSG007457,LA005686,,,
MSG007458,,,634000.0,
MSG007463,,,244000.0,
MSG007464,LA005827,,,
MSG007467,,,826000.0,
MSG007469,,,645000.0,
MSG007470,,,,2026-10-06
MSG007477,,,730000.0,
MSG007482,LA032334,,,
MSG007484,,,587000.0,
MSG007492,,,,2026-12-30
MSG007493,,,354000.0,
MSG007496,,,17000.0,2025-02-15
MSG007498,,LA970211,,
MSG007500,,,636000.0,
MSG007501,LA007322,,,
MSG007502,,,348000.0,
MSG007503,LA018075,,,
MSG007505,,,195000.0,
MSG007508,,LA900933,,
MSG007511,,LA913898,,
MSG007512,,,650000.0,2025-02-05
MSG007514,LA006652,,,
MSG007515,LA004103,,,
MSG007516,LA000031,,126000.0,
MSG007519,,,805000.0,
MSG007524,,,727000.0,
MSG007525,,,498000.0,
MSG007526,,,635000.0,2025-06-09
MSG007527,,,,2025-05-15
MSG007529,,,804000.0,
MSG007531,,,41000.0,
MSG007532,,,862000.0,2025-02-05
MSG007533,LA000536,,,
MSG007534,LA015650,,,
MSG007535,,,,2026-01-12
MSG007537,,,801000.0,
MSG007538,,,167000.0,
MSG007539,,,832000.0,
MSG007544,LA014335,,,
MSG007547,,,,2026-08-17
MSG007549,,,,2026-10-03
MSG007553,,LA974685,,
MSG007556,,LA982195,,
MSG007559,,LA930234,,2025-03-28
MSG007560,,,193000.0,
MSG007563,,,481000.0,
MSG007567,,,270000.0,
MSG007568,,,228000.0,
MSG007569,,LA931093,,
MSG007570,,,,2026-03-27
MSG007572,,LA956148,,
MSG007576,,,,2025-10-08
MSG007584,,,517000.0,
MSG007587,,,424000.0,
MSG007589,,,570000.0,
MSG007595,,,433000.0,
MSG007596,,,853000.0,
MSG007597,,LA947711,,
MSG007598,,,712000.0,
MSG007600,,,,2025-01-26
MSG007603,,LA916929,,
MSG007605,LA001290,,,
MSG007612,LA011553,,,
MSG007623,LA009036,,,
MSG007626,LA018869,,,2026-03-16
MSG007627,LA032832,,,
MSG007630,LA022850,,,
MSG007639,LA030303,,,
MSG007641,,,132000.0,
MSG007644,LA006366,,,
MSG007645,LA007132,,,
MSG007648,,,631000.0,
MSG007651,,,,2025-02-05
MSG007654,,LA950045,,
MSG007657,,LA981939,,
MSG007659,,LA024801,,
MSG007660,LA010251,,,
MSG007664,,,34000.0,
MSG007666,,,,2025-07-04
MSG007667,LA028011,,,
MSG007668,,,710000.0,
MSG007676,,LA972953,,
MSG007679,,LA981726,,
MSG007681,LA015322,,,
MSG007682,,LA964381,,
MSG007686,,,226000.0,2026-09-09
MSG007687,,,192000.0,
MSG007690,LA006657,,,
MSG007692,,,892000.0,
MSG007694,,,,2026-10-09
MSG007697,,,572000.0,
MSG007700,,,787000.0,
MSG007703,LA027868,,,
MSG007704,,LA987744,,
MSG007714,,,804000.0,2025-02-23
MSG007715,LA018183,,,
MSG007716,LA026501,,767000.0,
MSG007721,LA014944,,,
MSG007725,,,399000.0,2026-01-16
MSG007726,LA004178,,,
MSG007729,,LA924981,,
MSG007732,,LA904593,,2026-03-28
MSG007733,,,516000.0,
MSG007738,,,414000.0,
MSG007739,,,837000.0,2026-08-19
MSG007741,,,514000.0,
MSG007743,LA022498,,,
MSG007745,LA004119,,,
MSG007746,,,641000.0,
MSG007750,,LA911403,,
MSG007755,,,254000.0,2026-04-01
MSG007757,,,268000.0,2025-09-26
MSG007759,LA021911,,,
MSG007762,,,411000.0,
MSG007765,,,249000.0,
MSG007767,,,184000.0,
MSG007772,,LA999244,,
MSG007775,,,504000.0,
MSG007778,,,,2025-11-12
MSG007779,,,,2025-04-24
MSG007783,LA013766,,,
MSG007785,,,,2026-03-22
MSG007789,,,278000.0,
MSG007792,,,,2026-08-02
MSG007795,,,,2025-05-17
MSG007796,,,720000.0,
MSG007797,,,550000.0,
MSG007802,LA026142,,,
MSG007804,,,,2025-08-22
MSG007808,,,,2026-09-28
MSG007811,,,,2026-01-16
MSG007812,,,17000.0,
MSG007814,,,590000.0,
MSG007815,,LA964051,,
MSG007816,,,150000.0,
MSG007824,,,,2025-12-17
MSG007827,,,,2025-02-26
MSG007828,,,,2025-08-29
MSG007832,,,353000.0,
MSG007837,LA028717,,,
MSG007839,,,335000.0,
MSG007840,,,49000.0,
MSG007842,,,410000.0,
MSG007843,,,327000.0,
MSG007845,,,230000.0,
MSG007847,,,646000.0,
MSG007850,,,,2025-05-22
MSG007855,LA013460,,,
MSG007856,,,435000.0,
MSG007857,,,644000.0,
MSG007871,,,,2025-09-27
MSG007877,,,389000.0,
MSG007878,LA029108,,,
MSG007879,LA003671,,,
MSG007880,LA003554,,,
MSG007881,LA032791,,,
MSG007882,,,,2026-10-07
MSG007883,,,,2026-08-06
MSG007887,,,97000.0,
MSG007890,,,794000.0,
MSG007894,,,,2026-12-28
MSG007898,,,,2026-11-01
MSG007904,,,,2025-01-16
MSG007909,,,177000.0,
MSG007914,,,342000.0,
MSG007916,,,441000.0,
MSG007919,,,,2026-11-05
MSG007920,,LA924777,,
MSG007921,,,738000.0,
MSG007924,,,575000.0,
MSG007931,,,255000.0,
MSG007932,,LA985408,210000.0,
MSG007939,,,,2026-12-10
MSG007943,,,635000.0,
MSG007945,,,611000.0,
MSG007953,,,87000.0,
MSG007959,LA018972,,,
MSG007961,,,412000.0,
MSG007962,,,,2026-09-28
MSG007963,,,191000.0,
MSG007967,,,,2026-08-27
MSG007972,,,,2026-03-15
MSG007973,,,,2026-10-19
MSG007981,LA014891,,,
MSG007984,,,638000.0,
MSG007986,,LA930943,,
MSG007991,,LA959727,,
MSG007993,,,,2026-09-12
MSG007997,LA005161,,,
MSG008000,LA009560,,,
MSG008010,LA022667,,,
MSG008012,,,588000.0,
MSG008013,,,511000.0,2026-07-26
MSG008016,,,882000.0,
MSG008017,LA027122,,,
MSG008018,,,300000.0,
MSG008024,LA030240,,,
MSG008025,LA013471,,,
MSG008030,,,872000.0,
MSG008031,,LA924933,,
MSG008035,,,734000.0,
MSG008037,,LA909488,,
MSG008043,,LA926753,,
MSG008045,,,,2026-05-26
MSG008051,LA015025,,,
MSG008052,,,593000.0,
MSG008054,,,493000.0,
MSG008055,LA005407,,,
MSG008056,,,,2026-01-01
MSG008057,,LA922817,,
MSG008058,,,534000.0,
MSG008061,,,216000.0,
MSG008063,,LA955265,750000.0,
MSG008067,,,,2026-02-17
MSG008077,,,557000.0,
MSG008082,,,,2025-11-30
MSG008083,LA002750,,,
MSG008084,,,,2026-04-12
MSG008086,,LA902069,,
MSG008093,LA014464,,,
MSG008095,,LA923980,,
MSG008096,LA019137,,,2025-04-14
MSG008099,LA003455,,,
MSG008105,,,885000.0,
MSG008108,LA013498,,,
MSG008112,,,,2025-04-10
MSG008114,,,,2026-11-13
MSG008117,LA021197,,,2025-02-21
MSG008118,LA026770,,,
MSG008120,,,,2025-02-13
MSG008122,LA030969,,,2026-04-08
MSG008123,,,764000.0,
MSG008127,LA011249,,,
MSG008130,,LA956776,,
MSG008132,LA012942,,,
MSG008134,LA028876,,,
MSG008136,,,538000.0,
MSG008138,,,265000.0,
MSG008144,,LA939376,,
MSG008150,,,,2025-05-10
MSG008155,LA022903,,,
MSG008161,,,252000.0,2026-05-21
MSG008162,,,,2026-11-28
MSG008163,,,313000.0,
MSG008168,LA009062,,,
MSG008170,,LA963593,,
MSG008172,,,855000.0,
MSG008181,,,891000.0,
MSG008183,,,890000.0,2025-04-13
MSG008184,,LA965560,,
MSG008189,LA022635,,,
MSG008201,,,680000.0,
MSG008205,,,310000.0,
MSG008209,,LA996536,,
MSG008220,LA005222,,,
MSG008221,,,,2025-06-17
MSG008223,,,,2025-01-31
MSG008226,,,105000.0,
MSG008231,,,,2025-04-30
MSG008232,LA014837,,,
MSG008233,,,,2025-05-31
MSG008238,,LA983601,,
MSG008243,,,189000.0,
MSG008244,,,751000.0,
MSG008247,LA010136,,,
MSG008249,,,,2026-05-03
MSG008252,,,403000.0,
MSG008253,,,,2025-08-24
MSG008256,,,,2025-06-13
MSG008259,,,321000.0,
MSG008260,,LA922822,,
MSG008262,LA032761,,,
MSG008263,,LA969273,,
MSG008265,,,,2026-12-04
MSG008268,,,163000.0,2025-03-01
MSG008269,,,480000.0,
MSG008273,,,820000.0,
MSG008283,,,375000.0,
MSG008299,LA001159,,,
MSG008308,,,502000.0,
MSG008310,,,296000.0,
MSG008317,,,229000.0,
MSG008319,,,612000.0,
MSG008328,,,109000.0,
MSG008331,LA028280,,,
MSG008332,,,739000.0,
MSG008334,LA009309,,,
MSG008335,LA001201,,,
MSG008341,,,47000.0,
MSG008345,,LA962723,,
MSG008349,LA021803,,,
MSG008354,,,,2026-08-02
MSG008356,,,,2026-08-31
MSG008357,,,386000.0,
MSG008358,LA022401,,,
MSG008365,LA004710,,,
MSG008369,LA001270,,,
MSG008370,,LA959431,,
MSG008379,LA003686,,,
MSG008383,,,,2025-07-14
MSG008387,,LA979897,829000.0,
MSG008392,,,271000.0,
MSG008394,,,528000.0,
MSG008401,,,,2025-03-14
MSG008402,LA013512,,,
MSG008403,,,558000.0,
MSG008406,,,248000.0,2025-03-07
MSG008410,LA004378,,,
MSG008411,,,354000.0,
MSG008417,LA023227,,,
MSG008422,,,,2025-12-03
MSG008425,,,312000.0,
MSG008430,,,70000.0,
MSG008441,,,145000.0,
MSG008442,,,,2025-03-17
MSG008445,LA002569,,,
MSG008446,,LA914772,,
MSG008451,,LA937517,,
MSG008455,,LA981610,,
MSG008457,LA026057,,,
MSG008459,,,,2026-04-04
MSG008460,,,,2026-04-17
MSG008461,,,827000.0,2026-08-24
MSG008464,,,743000.0,
MSG008465,LA028867,,,
MSG008466,,LA023681,492000.0,
MSG008470,,,648000.0,
MSG008472,LA031156,,,
MSG008478,,,,2025-07-14
MSG008481,,LA989215,,
MSG008485,LA030993,,,
MSG008489,,,584000.0,
MSG008492,LA001535,,,
MSG008493,,LA903727,,
MSG008494,,,440000.0,
MSG008497,,,667000.0,
MSG008499,,LA947146,,
MSG008502,LA011303,,,
MSG008504,,,225000.0,
MSG008505,LA025103,,,
MSG008506,,,,2025-03-02
MSG008508,LA011226,,,
MSG008509,,,591000.0,
MSG008512,,,,2026-04-02
MSG008517,,,135000.0,
MSG008518,,,644000.0,
MSG008522,LA024353,,,
MSG008523,,,,2025-12-22
MSG008528,LA025574,,,
MSG008530,LA032899,,,
MSG008532,,LA926418,,
MSG008533,,LA916795,,
MSG008535,,,73000.0,
MSG008536,,,492000.0,
MSG008537,LA010907,,,
MSG008538,,,303000.0,
MSG008544,,,,2026-08-08
MSG008546,,,461000.0,
MSG008550,,,,2025-09-27
MSG008552,,,38000.0,
MSG008557,,,490000.0,
MSG008564,LA011495,,,2025-06-23
MSG008566,,,870000.0,
MSG008569,,,412000.0,
MSG008570,,,,2025-08-24
MSG008573,,,,2026-07-13
MSG008575,,,472000.0,2025-06-22
MSG008577,,,40000.0,2025-05-27
MSG008583,LA000807,,,
MSG008586,,,546000.0,
MSG008590,,,,2025-05-09
MSG008591,LA009448,,,
MSG008600,LA009286,,,
MSG008605,LA014971,,,
MSG008606,,,244000.0,
MSG008607,LA013915,,,
MSG008608,,,458000.0,
MSG008610,,,,2026-06-26
MSG008613,LA028274,,,
MSG008614,LA025558,,,2025-05-19
MSG008615,LA024071,,,
MSG008616,,,,2025-08-06
MSG008617,,LA905705,,
MSG008619,,,612000.0,
MSG008620,LA000169,,,
MSG008629,,,,2026-05-23
MSG008633,LA015578,,,
MSG008638,,,,2026-05-27
MSG008639,,,,2026-09-24
MSG008648,,,,2026-04-05
MSG008650,,,256000.0,
MSG008654,,LA953804,,
MSG008655,LA024105,,,
MSG008659,,,197000.0,
MSG008664,,,88000.0,
MSG008665,LA008102,,,
MSG008666,,,604000.0,
MSG008671,,LA966742,,
MSG008672,LA014037,,60000.0,
MSG008673,,,303000.0,2025-09-30
MSG008675,,,482000.0,
MSG008680,LA024019,,,
MSG008681,,,611000.0,
MSG008685,,,748000.0,
MSG008686,,,,2026-10-03
MSG008687,LA026239,,,
MSG008697,,,486000.0,
MSG008699,LA028202,,,
MSG008703,,,,2026-08-28
MSG008705,LA014199,,,
MSG008710,,,808000.0,
MSG008712,,,770000.0,
MSG008724,LA013213,,,
MSG008727,LA012645,,,2026-11-22
MSG008729,LA022087,,,2026-08-19
MSG008732,,,189000.0,
MSG008734,LA013860,,,
MSG008736,LA013221,,,
MSG008737,,,479000.0,
MSG008739,LA005574,,,
MSG008740,,LA953125,,2026-02-13
MSG008741,LA015804,,,
MSG008745,,,685000.0,
MSG008747,,,,2026-10-07
MSG008763,,,529000.0,
MSG008764,,,,2025-03-01
MSG008766,,,21000.0,
MSG008773,LA007865,,,
MSG008776,,,183000.0,2026-12-23
MSG008777,LA017346,,,2026-07-01
MSG008778,,,144000.0,
MSG008779,LA029327,,,
MSG008780,LA025621,,,
MSG008785,,,320000.0,
MSG008787,LA015789,,,
MSG008790,,,189000.0,
MSG008791,LA032262,,,
MSG008792,,,293000.0,
MSG008798,,,713000.0,
MSG008800,,,,2026-01-12
MSG008801,,LA936836,636000.0,2025-04-02
